,,,Fantasy,,Passing,,,,,,Rushing,,
Maasai Maynor,Navy,1,1.5,1.5,2,3,14,0,1,4.67,1,8,0
Michael Lindauer,Cincinnati,1,1.5,1.5,0,0,0,0,0,0.00,2,15,0
Evan Conley,Louisville,2,1.4,0.7,4,5,48,0,0,9.60,1,-10,0
Chris Katrenick,Duke,1,1.4,1.4,2,3,40,0,0,13.33,3,-6,0
Andy Peters,Boise State,1,1.4,1.4,4,8,26,0,0,3.25,1,1,0
Carter Peevy,Mercer,1,1.4,1.4,2,2,14,0,0,7.00,5,7,0
Hudson Card,Texas,2,1.4,0.7,1,3,5,0,0,1.67,4,11,0
Alex Padilla,Iowa,1,1.3,1.3,1,2,12,0,0,6.00,2,7,0
Jensen Jones,Air Force,1,1.3,1.3,0,0,0,0,0,0.00,2,13,0
Trenton Bourguet,Arizona State,1,1.2,1.2,1,2,24,0,0,12.00,0,0,0
Cameron Rising,Utah,1,1.2,1.2,3,6,45,0,1,7.50,1,-11,0
Kenyon Oblad,UNLV,1,1.1,1.1,2,4,2,0,0,0.50,2,10,0
Beau Allen,Kentucky,2,1.1,0.6,3,7,40,0,0,5.71,2,-9,0
Drew Pyne,Notre Dame,2,1.0,0.5,2,3,12,0,0,4.00,1,4,0
Jarrett Guest,Coastal Carolina,1,1.0,1.0,1,1,7,0,0,7.00,1,6,0
Jacob Sirmon,Washington,1,1.0,1.0,1,1,9,0,0,9.00,2,5,0
Garrett Shrader,Mississippi State,1,0.8,0.8,0,0,0,0,0,0.00,0,0,0
Ben Ballard,Texas,1,0.7,0.7,0,0,0,0,0,0.00,1,7,0
Kyle Toole,Troy,1,0.7,0.7,0,0,0,0,0,0.00,2,7,0
Davis Beville,Pittsburgh,6,0.6,0.1,5,10,30,0,0,3.00,4,-9,0
Peyton Matocha,Miami,1,0.5,0.5,0,0,0,0,0,0.00,2,5,0
Matt Duncan,Temple,1,0.5,0.5,0,2,0,0,0,0.00,4,5,0
Nate Cox,Nevada,1,0.5,0.5,1,2,10,0,0,5.00,1,0,0
Wiley Green,Rice,1,0.5,0.5,2,10,27,0,1,2.70,4,-9,0
Jawon Pass,Louisville,2,0.5,0.2,2,3,17,0,0,5.67,3,-4,0
Cord Sandberg,Auburn,1,0.4,0.4,1,1,8,0,0,8.00,0,0,0
Isaiah Bravo,UTEP,1,0.3,0.3,0,2,0,0,0,0.00,1,3,0
Parker McNeil,Troy,1,0.3,0.3,0,2,0,0,0,0.00,1,3,0
Boone Abbott,Hawaii,1,0.2,0.2,0,0,0,0,0,0.00,1,2,0
Nick Kargman,Western Michigan,1,0.2,0.2,1,3,4,0,0,1.33,0,0,0
Grant Loy,Auburn,3,0.2,0.1,0,2,0,0,0,0.00,2,2,0
Jefferson Boaz,North Carolina,1,0.2,0.2,1,1,3,0,0,3.00,0,0,0
Sean Chambers,Wyoming,1,0.1,0.1,1,1,6,0,0,6.00,1,-2,0
Trent Wessel,Louisiana Tech,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Gunnar Hoak,Ohio State,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Connor Adair,Memphis,1,0.0,0.0,0,2,0,0,0,0.00,0,0,0
Justus Rogers,Washington State,4,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Devon Modster,California,1,0.0,0.0,0,1,0,0,0,0.00,0,0,0
David Moore,Central Michigan,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Brayden Stringer,Texas State,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Trevor Bycznski,Buffalo,1,0.0,0.0,0,1,0,0,1,0.00,0,0,0
Will Kuehne,North Texas,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Cole Snyder,Rutgers,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Leo Kelly,Wake Forest,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Hank Gibbs,Wyoming,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
LaBronz Davis,Bowling Green,2,0.0,0.0,0,2,0,0,1,0.00,0,0,0
Dillon Markiewicz,Syracuse,1,0.0,0.0,0,1,0,0,0,0.00,0,0,0
Brendon Clark,Notre Dame,1,-0.1,-0.1,1,3,7,0,0,2.33,1,-4,0
Darius Ocean,Western Kentucky,1,-0.1,-0.1,0,1,0,0,0,0.00,1,-1,0
Andrew Brito,Massachusetts,2,-0.3,-0.1,1,1,-5,0,0,-5.00,0,0,0
Matt Fink,USC,1,-0.3,-0.3,1,1,-5,0,0,-5.00,0,0,0
Colt Garrett,,1,-0.4,-0.4,0,1,0,0,0,0.00,2,-4,0
Chandler Fields,Louisiana-Lafayette,2,-0.6,-0.3,0,6,0,0,0,0.00,1,-6,0
Jaylen Gipson,Texas State,2,-0.6,-0.3,0,0,0,0,0,0.00,2,-6,0
Tyler Van Dyke,Miami,1,-0.7,-0.7,0,2,0,0,0,0.00,1,-7,0
