,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Ryan Kelley,Eastern Washington,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Grant Loy,Auburn,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Justus Rogers,Washington State,13,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Zack Annexstad,Minnesota,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Kason Martin,North Texas,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
John Stephen Jones,Arkansas,2,0.0,0.0,0,1,0,0,0,0.00,0,0,0
Joe Mischler,Duquesne,1,0.0,0.0,0,3,0,0,1,0.00,0,0,0
Isaiah Green,Tennessee State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jaden Johnson,Missouri State,1,-0.1,-0.1,1,1,-1,0,0,-1.00,0,0,0
Ryan Rizk,Miami,2,-0.1,0.0,1,2,9,0,0,4.50,1,-5,0
Jaden Casey,Portland State,1,-0.2,-0.2,1,3,11,0,0,3.67,1,-7,0
Holman Edwards,Houston,1,-0.2,-0.2,0,0,0,0,0,0.00,1,-2,0
Keondre Wudtee,Northern Arizona,2,-0.2,-0.1,3,11,-4,0,0,-0.36,3,0,0
Santino Marucci,Wake Forest,1,-0.3,-0.3,0,0,0,0,0,0.00,1,-3,0
Michael Alaimo,Purdue,1,-0.3,-0.3,0,0,0,0,0,0.00,1,-3,0
Dylan Ratliff,UNC Charlotte,1,-0.4,-0.4,0,0,0,0,0,0.00,1,-4,0
Robby Rowell,California,1,-0.4,-0.4,0,0,0,0,0,0.00,1,-4,0
Kyle Toole,Troy,1,-0.7,-0.7,0,0,0,0,0,0.00,1,-7,0
Walker Eget,San Jose State,1,-1.1,-1.1,1,8,8,0,0,1.00,1,-15,0
