,,,Fantasy,,Passing,,,,,,Rushing,,
Blaise Bentsen,Houston Baptist,3,16.2,5.4,6,16,82,1,1,5.13,6,21,1
Cord Sandberg,Auburn,2,15.7,7.9,5,7,84,2,0,12.00,7,35,0
Brennan Armstrong,Virginia,5,15.7,3.1,15,20,196,1,2,9.80,7,19,0
Jason Shelley,Utah,9,15.3,1.7,6,11,43,1,0,3.91,19,31,1
John Stephen Jones,Arkansas,3,15.3,5.1,13,26,101,2,1,3.88,11,22,0
Tate Whatley,Southern Miss,3,15.2,5.1,12,29,199,0,2,6.86,13,19,0
Jaiave Magalei,Louisiana-Lafayette,4,15.0,3.8,20,28,224,1,0,8.00,2,-2,0
Zach Calzada,Texas A&M,3,14.7,4.9,12,24,133,2,1,5.54,5,0,0
Andrew Peasley,Utah State,1,14.6,14.6,2,2,5,0,0,2.50,3,83,1
Joe Milton,Michigan,3,14.6,4.9,3,7,59,1,1,8.43,5,16,1
Tommy Schuster,North Dakota,1,14.3,14.3,17,33,165,1,1,5.00,5,20,0
JT Daniels,USC,1,14.2,14.2,25,34,215,1,1,6.32,3,-6,0
Connor Adair,Memphis,5,14.1,2.8,10,15,109,0,0,7.27,2,26,1
Peyton Derrick,,2,13.7,6.8,3,3,27,0,0,9.00,6,63,1
Mo Hasan,Vanderbilt,1,13.4,13.4,7,11,120,1,0,10.91,9,34,0
J.T. Shrout,Tennessee,4,13.4,3.3,13,27,179,1,0,6.63,3,4,0
Dequan Finn,Toledo,3,13.3,4.4,6,12,86,0,0,7.17,15,90,0
Carson Baker,San Diego State,1,13.3,13.3,19,24,172,1,0,7.17,8,7,0
Jacob Huesman,Appalachian State,5,12.7,2.5,5,7,92,2,0,13.14,1,1,0
Tyler DeSue,Maryland,4,12.6,3.2,4,14,88,1,0,6.29,4,-18,1
Casey Thompson,Texas,4,12.4,3.1,8,12,84,0,0,7.00,10,22,1
Alex Thomson,Marshall,2,12.4,6.2,8,9,123,1,0,13.67,7,22,0
Jemel Jones,Army,2,12.4,6.2,3,4,43,0,1,10.75,12,42,1
Deuce Wallace,Vanderbilt,8,12.3,1.5,43,101,307,0,4,3.04,15,-31,0
Isaiah Sanders,Air Force,5,11.0,2.2,5,5,76,0,0,15.20,10,72,0
Reid Herring,East Carolina,2,10.9,5.5,5,8,74,0,0,9.25,2,12,1
Austin Aune,North Texas,2,10.8,5.4,4,5,136,1,0,27.20,0,0,0
Jake Bentley,South Carolina,1,10.6,10.6,16,30,142,1,2,4.73,6,-5,0
Jack Allison,West Virginia,2,10.4,5.2,19,26,144,1,2,5.54,4,-8,0
Brandt Hughes,New Mexico,1,10.4,10.4,12,29,218,0,0,7.52,1,-5,0
Spencer Rattler,Oklahoma,3,10.4,3.5,7,11,81,1,0,7.36,3,23,0
Andrew Haidet,Houston Baptist,3,10.4,3.5,6,12,71,1,0,5.92,5,28,0
Logan Holgorsen,Houston,4,10.2,2.5,9,19,139,1,1,7.32,4,-8,0
Ryan Yost,,2,10.1,5.1,19,34,194,1,4,5.71,14,-36,0
Zeb Noland,,6,9.8,1.6,9,14,120,1,0,8.57,1,-2,0
Seth Boomer,Tulsa,2,9.8,4.9,8,15,97,1,0,6.47,3,9,0
Mike Collins,TCU,2,9.4,4.7,3,5,49,0,0,9.80,2,9,1
Michael Kern,Wake Forest,2,8.9,4.5,7,9,50,1,0,5.56,5,24,0
Taulia Tagovailoa,Alabama,3,8.8,2.9,9,12,100,1,0,8.33,1,-2,0
Gunnar Hoak,Ohio State,4,8.6,2.2,6,6,104,1,0,17.33,4,-6,0
Gage Gubrud,Washington State,2,8.5,4.2,10,13,89,1,0,6.85,0,0,0
Brendon Clark,Notre Dame,2,8.4,4.2,1,1,22,1,0,22.00,5,33,0
Taisun Phommachanh,Clemson,3,8.4,2.8,6,12,56,0,1,4.67,12,56,0
Cornelious Brown,Georgia State,3,8.0,2.7,11,28,130,0,1,4.64,4,15,0
Camden Orth,,1,7.9,7.9,11,19,170,1,0,8.95,8,-46,0
Grant Tisdale,Mississippi,1,7.8,7.8,2,2,56,1,0,28.00,2,10,0
Jackson Williamson,Miami (OH),6,7.7,1.3,8,19,84,0,2,4.42,12,35,0
Jack Albers,,1,7.6,7.6,0,0,0,0,0,0.00,3,16,1
John Holcombe,Kansas State,3,7.6,2.5,1,3,9,0,0,3.00,13,71,0
Connor Bazelak,Missouri,3,7.4,2.5,15,21,144,0,0,6.86,7,2,0
Spencer Petras,Iowa,2,7.4,3.7,6,10,25,0,0,2.50,1,1,1
Griffin Alstott,Western Michigan,3,7.3,2.4,5,6,31,1,0,5.17,3,17,0
Matthew Considine,,1,7.3,7.3,8,17,145,0,0,8.53,0,0,0
Justin Miller,Southern Utah,1,6.9,6.9,7,8,57,1,0,7.13,0,0,0
Ben Wooldridge,Fresno State,3,6.8,2.3,4,6,30,1,0,5.00,2,13,0
Austin Hensley,,1,6.7,6.7,10,20,92,0,0,4.60,2,21,0
Terrance Gipson,SMU,2,6.5,3.3,3,3,56,0,0,18.67,7,37,0
Grayson McCall,Coastal Carolina,2,6.4,3.2,4,4,25,1,0,6.25,2,11,0
Jonah O'Brien,,1,5.2,5.2,12,21,84,0,1,4.00,3,10,0
Trey Tinsley,Washington State,3,4.8,1.6,2,6,15,1,0,2.50,0,0,0
Colby Suits,Louisiana-Monroe,3,4.8,1.6,6,19,69,0,2,3.63,5,13,0
Bryce Rivers,,4,4.7,1.2,6,11,29,0,0,2.64,6,32,0
Gunnar Watson,Troy,4,4.5,1.1,13,22,89,0,0,4.05,0,0,0
Jack West,Stanford,2,4.4,2.2,15,32,143,0,0,4.47,12,-28,0
Graham Mertz,Wisconsin,2,4.3,2.1,9,10,73,0,0,7.30,2,6,0
TJ Green,Northwestern,1,4.1,4.1,6,10,62,0,0,6.20,3,10,0
Justin Uahinui,Hawaii,2,3.9,2.0,1,3,14,1,0,4.67,1,-8,0
Derek Green,SMU,2,3.9,2.0,1,3,0,0,1,0.00,3,39,0
Jack Tuttle,Indiana,5,3.7,0.7,6,11,34,0,0,3.09,9,20,0
Keondre Wudtee,Northern Arizona,2,3.6,1.8,1,2,6,0,0,3.00,10,33,0
Chance Thrasher,,3,3.6,1.2,5,8,29,0,1,3.63,6,21,0
Rocky Lombardi,Michigan State,3,3.4,1.1,7,21,74,0,2,3.52,4,-3,0
Joe Critchlow,BYU,2,3.4,1.7,9,12,73,0,0,6.08,2,-3,0
Evan Shirreffs,UNC Charlotte,2,3.3,1.7,0,2,0,0,0,0.00,3,33,0
Blake Stenstrom,Colorado,3,3.3,1.1,1,3,12,0,1,4.00,1,27,0
Robbie Kelley,Akron,7,3.3,0.5,10,28,75,0,3,2.68,7,-5,0
Drew Lisk,Utah,3,3.2,1.1,7,9,52,0,0,5.78,2,6,0
Ethan Long,Arizona State,4,3.2,0.8,0,0,0,0,0,0.00,6,32,0
James Foster,Texas A&M,3,3.0,1.0,3,9,30,0,0,3.33,5,15,0
Walker Wood,Kentucky,2,3.0,1.5,2,3,15,0,0,5.00,3,22,0
Drayton Arnold,UT-Chattanooga,2,2.8,1.4,5,10,36,0,2,3.60,3,10,0
Vincent Amendola,North Carolina,2,2.4,1.2,3,4,48,0,0,12.00,0,0,0
Cole Snyder,Rutgers,2,2.4,1.2,3,3,35,0,0,11.67,1,6,0
Westin Elliott,Louisiana Tech,5,2.4,0.5,6,14,67,0,4,4.79,2,-10,0
Jalen Chatman,Portland State,3,2.3,0.8,1,1,16,1,0,16.00,8,-25,0
Dylan Jacob,,1,2.3,2.3,9,17,72,0,1,4.24,8,-13,0
Matt Romero,New Mexico State,2,2.2,1.1,2,6,16,0,0,2.67,3,14,0
Mike Fallon,Massachusetts,1,2.0,2.0,2,2,40,0,0,20.00,0,0,0
Kurtis Rourke,Ohio,1,2.0,2.0,0,0,0,0,0,0.00,3,20,0
Jacob Clark,Minnesota,1,2.0,2.0,1,1,39,0,0,39.00,0,0,0
Octavious Battle,Tennessee State,3,2.0,0.7,2,6,5,0,0,0.83,6,17,0
Joe Mischler,Ohio,3,2.0,0.7,1,3,23,0,1,7.67,2,8,0
Allan Walters,Vanderbilt,3,1.8,0.6,2,9,36,0,1,4.00,0,0,0
Markevion Quinn,Memphis,2,1.8,0.9,0,0,0,0,0,0.00,6,18,0
Davis Shanley,Western Kentucky,1,1.6,1.6,0,0,0,0,0,0.00,1,16,0
Dalen Morris,Navy,2,1.6,0.8,0,0,0,0,0,0.00,2,16,0
T.J. DeShields,Akron,3,1.5,0.5,3,8,22,0,2,2.75,2,4,0
Jordon Brookshire,San Diego State,3,1.5,0.5,0,0,0,0,0,0.00,5,15,0
Trad Beatty,Temple,2,1.3,0.7,0,0,0,0,0,0.00,3,13,0
Jack Kristofek,Sam Houston,2,1.3,0.7,4,5,36,0,0,7.20,2,-5,0
Aldon Clark,Grambling State,2,1.3,0.7,1,2,22,0,0,11.00,3,2,0
Kyle Trina,South Florida,1,1.3,1.3,0,0,0,0,0,0.00,2,13,0
Trey Lowe,West Virginia,1,1.3,1.3,2,2,2,0,0,1.00,3,12,0
Drew Keszei,Ohio,1,1.3,1.3,1,1,21,0,0,21.00,1,2,0
Justin Agner,Florida Atlantic,3,1.2,0.4,3,5,30,0,1,6.00,2,-3,0
Kylan Weisser,Weber State,3,1.2,0.4,1,2,6,0,0,3.00,0,0,0
Chandler Fields,Louisiana-Lafayette,2,1.2,0.6,3,3,16,0,0,5.33,1,4,0
Patrick McClure,Clemson,1,1.2,1.2,0,0,0,0,0,0.00,2,12,0
Kade Young,Troy,1,1.2,1.2,3,5,23,0,1,4.60,0,0,0
Jay Urich,South Carolina,3,1.1,0.4,0,0,0,0,0,0.00,0,0,0
Tate Martell,Miami,4,1.1,0.3,1,1,7,0,0,7.00,7,7,0
Shaun Taylor,Oklahoma State,2,1.1,0.5,4,4,21,0,0,5.25,0,0,0
Jarrett Guest,Coastal Carolina,1,1.0,1.0,1,1,6,0,0,6.00,1,7,0
Chase Wolf,Wisconsin,1,1.0,1.0,1,1,2,0,0,2.00,1,9,0
Austin King,,1,1.0,1.0,2,6,13,0,0,2.17,2,3,0
Kinkead Dent,Mississippi,1,0.9,0.9,0,0,0,0,0,0.00,2,9,0
Wil Appleton,Auburn,1,0.9,0.9,2,2,17,0,0,8.50,0,0,0
Matt Valecce,Boston College,4,0.9,0.2,3,7,27,0,0,3.86,2,-5,0
Jimmy Weirick,,2,0.8,0.4,0,2,0,0,0,0.00,2,8,0
Johnathan Bennett,Liberty,2,0.8,0.4,2,5,11,0,0,2.20,1,2,0
Jackson Tyner,Texas Tech,3,0.7,0.2,1,8,2,0,0,0.25,1,6,0
Theo Day,Michigan State,1,0.6,0.6,2,3,12,0,0,4.00,1,0,0
Cam Miller,Illinois,1,0.6,0.6,1,1,12,0,0,12.00,0,0,0
Chandler Rogers,Southern Miss,1,0.6,0.6,0,0,0,0,0,0.00,2,6,0
Garret McGuire,Baylor,1,0.6,0.6,0,0,0,0,0,0.00,1,6,0
Landon Brown,Liberty,3,0.6,0.2,3,10,25,0,1,2.50,1,-7,0
Evan Marshman,Rice,1,0.6,0.6,2,5,27,0,0,5.40,6,-8,0
Andrew Bunch,Nebraska,1,0.6,0.6,1,6,13,0,0,2.17,2,-1,0
Jackson White,Marshall,1,0.6,0.6,2,2,11,0,0,5.50,0,0,0
Jacob Sirmon,Washington,3,0.5,0.2,2,3,19,0,0,6.33,2,-5,0
Robby Rowell,California,1,0.5,0.5,2,3,13,0,0,4.33,2,-2,0
Clifton McDowell,Louisiana-Lafayette,1,0.4,0.4,1,1,8,0,0,8.00,0,0,0
P.J. Hurst,Tulane,1,0.4,0.4,0,0,0,0,0,0.00,1,4,0
Josh Holl,Tulane,1,0.4,0.4,0,0,0,0,0,0.00,1,4,0
Logan Burnett,Mississippi State,1,0.4,0.4,1,1,8,0,0,8.00,0,0,0
Carson Coats,Arkansas State,1,0.4,0.4,1,2,7,0,0,3.50,0,0,0
Daniel Richardson,Central Michigan,1,0.4,0.4,1,3,1,0,0,0.33,1,3,0
Randall Johnson,Middle Tenn. St,1,0.3,0.3,0,0,0,0,0,0.00,2,3,0
Anthony Thompson,Northern Illinois,1,0.3,0.3,0,0,0,0,0,0.00,1,3,0
Kevaris Thomas,Western Kentucky,1,0.3,0.3,1,1,6,0,0,6.00,0,0,0
John Paddock,Ball State,1,0.3,0.3,1,2,5,0,0,2.50,0,0,0
Jake Sopko,Cincinnati,1,0.2,0.2,0,0,0,0,0,0.00,1,2,0
William Brown,SMU,1,0.1,0.1,0,0,0,0,0,0.00,1,1,0
Lindell Stone,Virginia,2,0.1,0.1,1,2,12,0,1,6.00,1,-5,0
Grant Wells,Marshall,1,0.1,0.1,0,0,0,0,0,0.00,1,1,0
Hamish McClure,Nevada,1,0.1,0.1,3,3,20,0,0,6.67,2,-9,0
Kierston Harvey,Georgia State,2,0.1,0.1,0,1,0,0,0,0.00,1,1,0
Blake Clark,Iowa State,1,0.0,0.0,0,1,0,0,0,0.00,0,0,0
afdsadfa afdasdfdsa,,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Blake Kirshner,UCLA,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Chance Stevenson,Air Force,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jayden Clemons,Utah,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Cole Kramer,Minnesota,1,0.0,0.0,0,2,0,0,1,0.00,0,0,0
Cedric Case,Texas State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Danny Carollo,Purdue,4,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Trevor Bycznski,Buffalo,1,0.0,0.0,0,1,0,0,0,0.00,0,0,0
Jonah Fitzgerald,Old Dominion,1,0.0,0.0,0,1,0,0,0,0.00,0,0,0
Thomas MacVittie,Kansas,1,0.0,0.0,0,1,0,0,1,0.00,0,0,0
Justus Rogers,Washington State,13,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Sam Noyer,Colorado,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Kaymen Cureton,Nevada,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Trent Wessel,Florida Atlantic,1,0.0,0.0,1,1,6,0,0,6.00,2,-3,0
Jon Santaga,Minnesota,3,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Cordale Grundy,UTSA,2,-0.1,-0.1,1,5,4,0,1,0.80,3,-3,0
Tyler Lytle,Colorado,2,-0.1,-0.1,0,1,0,0,0,0.00,1,-1,0
Ta'Quan Roberson,Penn State,1,-0.1,-0.1,0,1,0,0,0,0.00,1,-1,0
Chris Herron,Kansas State,2,-0.1,-0.1,0,0,0,0,0,0.00,1,-1,0
Jackson Gibbs,Appalachian State,2,-0.2,-0.1,0,0,0,0,0,0.00,2,-2,0
Rhett Rodriguez,Arizona,1,-0.3,-0.3,0,0,0,0,0,0.00,1,-3,0
Zac Larrier,Air Force,1,-0.3,-0.3,0,0,0,0,0,0.00,1,-3,0
Rex Culpepper,Syracuse,2,-0.6,-0.3,0,1,0,0,0,0.00,1,-6,0
Spencer Brasch,California,2,-0.7,-0.3,9,25,71,0,1,2.84,7,-42,0
Tayvon Bowers,Wake Forest,2,-1.0,-0.5,0,1,0,0,0,0.00,3,-10,0
AJ Mayer,Miami (OH),3,-1.1,-0.4,0,0,0,0,0,0.00,3,-11,0
J.T. Granato,Missouri State,1,-1.1,-1.1,0,0,0,0,0,0.00,1,-11,0
