,,,Fantasy,,Passing,,,,,,Rushing,,
Peyton Mansell,Iowa,5,13.3,2.7,5,8,83,0,1,10.38,8,31,1
Luke Langdon,Army,3,12.3,4.1,0,1,0,0,0,0.00,8,63,1
Austin Kendall,Oklahoma,4,12.2,3.1,12,17,122,1,0,7.18,7,21,0
Joe Milton,Michigan,4,12.0,3.0,3,4,58,0,1,14.50,7,31,1
Nick Starkel,Texas A&M,4,11.9,3.0,15,22,169,1,0,7.68,1,-6,0
Hendon Hooker,Virginia Tech,3,11.7,3.9,0,0,0,0,0,0.00,4,57,1
Jordan Travis,Louisville,3,11.6,3.9,4,14,71,1,1,5.07,8,40,0
Andrew Haidet,Houston Baptist,6,11.2,1.9,9,25,93,1,2,3.72,6,25,0
Mac Jones,Alabama,6,10.0,1.7,5,13,123,1,0,9.46,3,-8,0
Brett Kean,South Florida,3,9.5,3.2,15,34,140,1,0,4.12,3,-15,0
Colby Suits,Louisiana-Monroe,1,9.4,9.4,6,10,91,1,0,9.10,4,8,0
Noah Vedral,Nebraska,1,8.8,8.8,2,9,29,0,1,3.22,7,13,1
Matt Fink,USC,3,8.7,2.9,7,9,46,1,0,5.11,7,24,0
Andrew Peasley,Utah State,3,8.6,2.9,3,8,19,0,0,2.38,7,76,0
Jake Haener,Washington,3,8.5,2.8,9,13,107,1,1,8.23,1,-9,0
Kason Martin,North Texas,2,8.2,4.1,8,13,125,1,0,9.62,2,-21,0
Kevaris Thomas,Western Kentucky,3,7.8,2.6,0,1,0,0,0,0.00,6,18,1
Jeremy Moussa,Hawaii,2,7.8,3.9,4,9,77,1,0,8.56,1,-1,0
Brady McBride,Memphis,5,7.5,1.5,8,14,88,0,1,6.29,7,31,0
J.T. Granato,Missouri State,2,7.5,3.7,5,8,69,1,1,8.63,3,0,0
Woody Cornwell,North Carolina State,2,7.4,3.7,0,0,0,0,0,0.00,2,14,1
Cade Weldon,Miami,2,7.2,3.6,2,3,14,0,0,4.67,2,5,1
Trey Tinsley,Washington State,2,7.2,3.6,7,9,63,1,0,7.00,0,0,0
Taylor Powell,Missouri,3,7.1,2.4,6,14,134,0,0,9.57,1,4,0
Colt Garrett,Texas Tech,1,7.1,7.1,1,1,44,1,0,44.00,2,9,0
Jarren Williams,Miami,1,7.1,7.1,1,3,17,0,0,5.67,2,2,1
Manny Miles,North Carolina,1,7.0,7.0,2,4,50,1,0,12.50,1,5,0
Chris Katrenick,Duke,1,7.0,7.0,5,12,54,1,0,4.50,2,3,0
George Pearson,Central Michigan,1,6.6,6.6,12,24,94,1,1,3.92,5,-21,0
Danny Clark,Kentucky,2,6.4,3.2,0,0,0,0,0,0.00,2,4,1
Mo Hasan,Vanderbilt,5,6.4,1.3,4,6,38,0,0,6.33,7,45,0
Jackson Tyner,Rice,4,6.3,1.6,9,20,132,0,1,6.60,1,-3,0
Jaylon Henderson,Boise State,3,6.1,2.0,1,1,14,0,0,14.00,8,54,0
Tyler Harris,Rhode Island,1,6.1,6.1,2,5,41,1,1,8.20,0,0,0
Alex Ramart,Akron,4,6.0,1.5,9,32,61,1,6,1.91,6,-11,0
Aaron Allen,Louisiana Tech,2,5.8,2.9,3,6,47,1,1,7.83,2,-6,0
Braxton Burmeister,Oregon,4,5.1,1.3,5,10,43,0,0,4.30,7,29,0
Matthew Downing,Georgia,4,5.0,1.3,8,10,88,0,0,8.80,4,6,0
Connor Adair,Memphis,2,4.9,2.4,1,2,17,1,0,8.50,0,0,0
Reid Sinnett,,4,4.7,1.2,3,7,34,0,0,4.86,6,30,0
Cord Sandberg,Auburn,1,4.6,4.6,1,1,22,0,0,22.00,3,35,0
Caleb Lewis,,3,4.3,1.4,9,20,65,0,2,3.25,7,10,0
Danny Vanden Boom,Wisconsin,1,4.2,4.2,1,1,3,1,0,3.00,0,0,0
Kyle Kempt,Iowa State,4,4.1,1.0,21,31,160,0,1,5.16,5,-39,0
Jalen Mayden,Mississippi State,3,3.7,1.2,1,2,9,0,0,4.50,7,32,0
Ben Bryant,Cincinnati,1,3.4,3.4,6,8,75,0,1,9.38,2,-4,0
Myles Brennan,LSU,1,3.3,3.3,4,6,65,0,0,10.83,0,0,0
Jaylen Gipson,Texas State,5,3.0,0.6,3,6,12,0,0,2.00,7,24,0
Matt Robinson,Illinois,3,3.0,1.0,3,6,11,0,1,1.83,8,24,0
Quincy Patterson,Virginia Tech,3,3.0,1.0,1,5,9,0,0,1.80,9,25,0
Chase Forrest,California,1,2.8,2.8,5,14,71,0,2,5.07,1,-8,0
Payne Sullins,,1,2.7,2.7,2,4,17,0,0,4.25,4,18,0
Dillon Sterling-Cole,Arizona State,2,2.2,1.1,0,2,0,0,0,0.00,2,22,0
Sam Noyer,Colorado,4,2.2,0.6,8,14,60,0,2,4.29,4,-8,0
Shuler Bentley,Murray State,3,2.2,0.7,9,14,54,0,1,3.86,1,-5,0
Ross Bowers,California,1,2.1,2.1,8,17,56,0,0,3.29,3,-7,0
Jason Brown,St. Francis (PA),6,2.0,0.3,2,8,40,0,0,5.00,4,0,0
Westin Elliott,Louisiana Tech,1,2.0,2.0,4,8,39,0,0,4.88,0,0,0
Gunnar Holmberg,Duke,2,1.9,1.0,0,0,0,0,0,0.00,1,19,0
Tanner Mordecai,Oklahoma,2,1.9,0.9,2,4,37,0,0,9.25,0,0,0
Chance Thrasher,Coastal Carolina,3,1.9,0.6,2,2,17,0,0,8.50,5,10,0
Jay Urich,South Carolina,1,1.9,1.9,1,1,9,0,0,9.00,1,14,0
Mason Cunningham,Liberty,3,1.8,0.6,4,7,31,0,0,4.43,1,2,0
John Stephen Jones,Arkansas,3,1.8,0.6,1,6,5,0,1,0.83,2,15,0
Mike Fiacable,Indiana,1,1.7,1.7,0,0,0,0,0,0.00,2,17,0
Carter Bradley,Toledo,3,1.7,0.6,4,8,54,0,0,6.75,4,-10,0
Sean McCormack,Louisville,3,1.7,0.6,4,13,29,0,1,2.23,5,2,0
Logan Burnett,Mississippi State,1,1.6,1.6,1,1,25,0,0,25.00,1,3,0
Jake Sopko,Cincinnati,1,1.5,1.5,0,1,0,0,0,0.00,3,15,0
Anthony Gordon,Washington State,3,1.5,0.5,3,5,17,0,1,3.40,0,0,0
Jason Bean,North Texas,1,1.4,1.4,0,2,0,0,1,0.00,4,14,0
Kyle Vantrease,Buffalo,3,1.4,0.5,4,9,20,0,0,2.22,1,4,0
Tyler Lytle,Colorado,1,1.4,1.4,4,5,55,0,1,11.00,4,-14,0
Jonah Fitzgerald,Old Dominion,1,1.4,1.4,2,3,21,0,0,7.00,2,3,0
Marcelo Rodriguez,Southern Miss,1,1.3,1.3,3,5,8,0,2,1.60,2,9,0
Tyler DeSue,Maryland,3,1.3,0.4,2,2,16,0,0,8.00,4,5,0
Drayton Arnold,Old Dominion,1,1.3,1.3,1,2,21,0,0,10.50,1,2,0
John Paddock,Ball State,1,1.2,1.2,5,6,43,0,0,7.17,2,-10,0
Danny Velasquez,Portland State,2,1.2,0.6,1,1,17,0,0,17.00,3,3,0
J.P. Caruso,Delaware,3,1.2,0.4,4,11,31,0,2,2.82,3,-4,0
Phil Jurkovec,Notre Dame,2,0.9,0.5,0,2,0,0,0,0.00,2,9,0
Trey Lowe,West Virginia,1,0.9,0.9,2,2,0,0,0,0.00,1,9,0
Chad President,Tulsa,4,0.8,0.2,0,0,0,0,0,0.00,6,8,0
Jack Walker,Georgia State,2,0.7,0.4,2,3,14,0,0,4.67,3,0,0
Kingsley Ifedi,East Carolina,5,0.7,0.1,3,9,21,0,2,2.33,4,-4,0
Parker Towns,Rice,2,0.6,0.3,1,4,10,0,0,2.50,4,1,0
Ike Ogbogu,Houston,1,0.6,0.6,1,1,0,0,0,0.00,1,6,0
Steven Krajewski,UConn,1,0.6,0.6,2,3,11,0,0,3.67,2,0,0
JT Jackson,Louisiana-Monroe,2,0.5,0.3,2,3,10,0,0,3.33,0,0,0
Gerry Bohanon,Baylor,2,0.5,0.3,0,1,0,0,0,0.00,2,5,0
Davis Mills,Stanford,1,0.5,0.5,0,2,0,0,0,0.00,1,5,0
Nick Jeanty,New Mexico State,3,0.5,0.2,3,13,10,0,1,0.77,0,0,0
Gunnar Watson,Troy,2,0.5,0.2,8,12,45,0,0,3.75,4,-18,0
Carson Strong,Nevada,1,0.4,0.4,0,0,0,0,0,0.00,1,4,0
Dalen Morris,Navy,2,0.4,0.2,0,0,0,0,0,0.00,3,4,0
Quinten Dormady,Houston,1,0.4,0.4,2,5,8,0,0,1.60,0,0,0
Kolney Cassel,Hawaii,1,0.4,0.4,1,1,8,0,0,8.00,0,0,0
Jaren Hall,BYU,2,0.4,0.2,0,0,0,0,0,0.00,4,4,0
Brandon Peters,Michigan,2,0.4,0.2,1,2,8,0,1,4.00,0,0,0
Jack West,Stanford,2,0.4,0.2,1,5,4,0,0,0.80,1,2,0
Anthony Thompson,Northern Illinois,2,0.4,0.2,1,1,-5,0,0,-5.00,2,6,0
Kenyon Oblad,UNLV,1,0.4,0.4,1,5,7,0,0,1.40,0,0,0
Cam Miller,Illinois,1,0.3,0.3,0,0,0,0,0,0.00,1,3,0
Cade Pearson,North Texas,1,0.3,0.3,4,4,17,0,0,4.25,1,-6,0
Garret McGuire,Baylor,1,0.2,0.2,0,0,0,0,0,0.00,1,2,0
Nick Sipe,Purdue,2,0.2,0.1,1,1,3,0,0,3.00,3,0,0
Devin Adams,Auburn,1,0.1,0.1,0,0,0,0,0,0.00,1,1,0
Preston Hutchinson,Eastern Michigan,1,0.1,0.1,0,0,0,0,0,0.00,1,1,0
Jeff George Jr.,Pittsburgh,2,0.1,0.0,1,3,1,0,0,0.33,0,0,0
Max Bortenschlager,Maryland,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Justus Rogers,Washington State,6,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Chase Hansen,Utah,12,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Austin Robinson,Houston,13,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Nick Smith,Wyoming,2,0.0,0.0,0,2,0,0,0,0.00,0,0,0
Alex Malzone,Miami (OH),2,0.0,0.0,0,4,0,0,0,0.00,0,0,0
Spencer Petras,Iowa,1,0.0,0.0,0,1,0,0,0,0.00,0,0,0
Ryan Schmidt,Iowa,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Chase Cunningham,Middle Tenn. St,2,0.0,0.0,0,1,0,0,0,0.00,1,0,0
Nick Sproles,Florida,1,0.0,0.0,0,1,0,0,0,0.00,0,0,0
Jack Lindsey,Arkansas,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jake Arceneaux,Louisiana-Lafayette,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Matthew Considine,Wake Forest,1,0.0,0.0,0,2,0,0,0,0.00,0,0,0
Davis Brin,Tulsa,1,0.0,0.0,0,0,0,0,0,0.00,1,0,0
afdsadfa afdasdfdsa,,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Kwadra Griggs,Southern Miss,2,-0.1,0.0,1,2,-1,0,0,-0.50,2,0,0
Jack Richardson,Stanford,1,-0.1,-0.1,1,1,6,0,0,6.00,1,-4,0
Justin Tomlin,Georgia Southern,1,-0.1,-0.1,0,0,0,0,0,0.00,1,-1,0
Drew Lisk,Utah,1,-0.1,-0.1,0,0,0,0,0,0.00,1,-1,0
Rasean McKay,Florida A&M,1,-0.3,-0.3,2,4,11,0,0,2.75,2,-8,0
Caiden Norman,East Carolina,2,-0.3,-0.2,1,2,4,0,0,2.00,3,-5,0
Justin Rogers,TCU,1,-0.4,-0.4,1,1,1,0,0,1.00,1,-4,0
Jake Allen,,1,-0.5,-0.5,1,2,9,0,0,4.50,1,-9,0
Daulton Hyatt,Arkansas,1,-0.6,-0.6,0,0,0,0,0,0.00,2,-6,0
Cross Wilkinson,Toledo,1,-0.7,-0.7,0,0,0,0,0,0.00,1,-7,0
Aidan Willard,Oregon State,1,-1.5,-1.5,0,1,0,0,0,0.00,1,-15,0
