TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD,Probability_Success,Name
3.6,6.3,10.8,43,26,270,0,0.0007512172703050547,Julian Fleming
2.0,1.0,1.1,4,1,4,0,0.0007503351524655108,Micah Woods
1.1,10.6,4.4,14,5,148,1,0.0007461425661536351,Jalen Hale
0.4,124.8,25.0,5,60,624,4,0.0007457562012694767,Sam Phillips
3.6,5.0,11.3,43,22,213,1,0.0007454907607194682,Geordon Porter
2.5,6.3,7.3,27,16,170,1,0.0007435627470820601,Julian Gray
1.5,10.0,0.9,3,2,30,1,0.0007410917001652311,Deuce Alexander
5.0,4.9,13.0,60,38,296,1,0.0007402023828152837,Skyler Bell
2.0,8.1,6.5,24,11,195,0,0.0007401466928239338,Terrell Timmons
2.4,6.3,5.7,31,20,194,2,0.000740137447415978,K.D. Hutchinson
1.0,32.2,20.7,6,12,193,1,0.0007360942096449812,Khiyon Wafer
2.1,5.8,4.6,25,9,145,1,0.0007336323845558645,Moussa Barry
2.0,4.5,0.9,4,3,18,0,0.0007330652693146126,Raleek Brown
2.8,6.1,8.4,36,20,220,1,0.000731837429459032,Monroe Young
1.8,8.4,5.4,22,14,184,1,0.0007315191716084798,RJ Garcia
2.1,8.3,6.4,25,19,207,1,0.0007312291919534234,Parker Kingston
4.8,4.5,17.4,58,32,262,1,0.0007306930788413801,Jamaal Bell
0.8,12.2,2.7,10,6,122,2,0.0007303353174234466,Abdul Janneh
0.7,16.3,1.8,7,5,114,2,0.0007274995585553092,Cayden Lee
1.6,11.6,2.1,8,4,93,0,0.000727085433182335,Mershawn Rice
1.9,7.0,5.8,21,11,148,1,0.0007248496717087463,Mekhi Miller
2.7,8.1,6.4,32,24,258,0,0.0007238130027769437,Carlos Hernandez
3.3,6.6,9.7,40,25,262,0,0.0007233284147694012,Darryle Simmons
0.4,100.8,7.7,4,33,403,4,0.0007221598880274783,Jalen Burbage
1.6,8.5,5.3,19,11,161,1,0.000719482987941917,Dane Pardridge
2.0,1.2,1.3,6,1,7,0,0.0007179484384303152,Jamarion Carroll
1.2,12.6,3.1,13,11,164,1,0.0007169122761860368,Kobie Campbell
1.6,6.6,3.5,11,5,73,1,0.000715909050269282,Le'Meke Brockington
1.9,5.2,5.5,17,6,88,1,0.0007138246368408442,Chris Autman-Bell
1.8,6.1,1.7,7,2,43,0,0.0007109369913815462,Beau Corrales
