Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Theodore Johnson,TE,Penn St.,,6-6,259,4.57,39.5,,125,7.15,4.19,
Christian Jones,OT,Texas,College Stats,6-5,305,5.04,,,,8.09,4.78,
Elijah Jones,CB,Boston Col.,College Stats,6-2,185,4.44,42.5,,131,,,
Jarrian Jones,CB,Florida St.,College Stats,6-0,190,4.38,39.5,,129,,,
Matthew Jones,G,Ohio St.,College Stats,6-4,316,5.21,28.0,,103,8.19,,
Trente Jones,G,Michigan,College Stats,6-4,305,5.17,27.0,,109,7.78,4.87,
Jawhar Jordan,RB,Louisville,College Stats,5-10,193,4.56,,,,,,
Ennis Rakestraw Jr.,CB,Missouri,College Stats,5-11,183,4.51,,,120,,,
Jeremiah Trotter Jr.,LB,Clemson,College Stats,6-0,228,,,21,,7.13,4.40,
Michael Hall Jr.,DT,Ohio St.,College Stats,6-3,290,,,,,,,
Michael Penix Jr.,QB,Washington,College Stats,6-2,216,,,,,,,
Tyrone Tracy Jr.,RB,Purdue,College Stats,5-11,209,4.48,40.0,,124,6.81,4.06,
Mohamed Kamara,EDGE,Colorado St.,College Stats,6-1,248,4.57,34.5,23,123,,,
Joshua Karty,K,Stanford,College Stats,6-2,207,,,,,,,
Trevor Keegan,G,Michigan,College Stats,6-5,310,5.24,30.5,,107,,,
Jaylen Key,SAF,Alabama,College Stats,6-1,208,4.60,36.5,,130,,,
Kamren Kinchens,SAF,Miami,College Stats,5-11,203,4.65,35.0,,110,,,
Kalen King,CB,Penn St.,College Stats,5-11,191,4.61,37.0,,122,,4.16,
Jarrett Kingston,G,USC,College Stats,6-4,306,5.02,31.5,,111,7.53,4.47,
Marshawn Kneeland,EDGE,Western Michigan,College Stats,6-3,267,4.75,35.5,21,119,7.02,4.18,
Tyrice Knight,LB,Texas-El Paso,College Stats,6-1,233,4.63,34.5,21,119,7.25,4.40,
Trey Knox,TE,South Carolina,College Stats,6-3,240,,32.5,,121,7.09,4.54,
Kamari Lassiter,CB,Georgia,College Stats,6-0,186,,,,,6.62,4.12,
Brady Latham,G,Arkansas,College Stats,6-5,304,5.31,29.0,,110,7.57,4.47,
JC Latham,OT,Alabama,College Stats,6-6,342,,,,,,,
Laiatu Latu,EDGE,UCLA,College Stats,6-5,259,4.64,32.0,,116,,,
Dylan Laube,RB,New Hampshire,,5-10,206,4.54,37.0,23,118,6.84,4.02,
Sataoa Laumea,G,Utah,College Stats,6-4,319,,26.0,,104,,,
Devin Leary,QB,Kentucky,College Stats,6-1,215,,,,,,,
Logan Lee,DT,Iowa,College Stats,6-5,281,5.05,31.5,25,114,7.16,4.37,
Matt Lee,C,Miami,,6-4,301,5.03,31.0,,111,,,
Xavier Legette,WR,South Carolina,College Stats,6-1,221,4.39,40.0,,126,,,
Kaitori Leveston,G,Kansas St.,College Stats,6-4,326,5.38,27.5,,108,,4.89,
Beaux Limmer,C,Arkansas,College Stats,6-5,302,5.22,36.5,,110,7.47,4.57,
Cam Little,K,Arkansas,College Stats,6-1,172,,,,,,,
Marist Liufau,LB,Notre Dame,College Stats,6-2,234,4.64,,,,,,
MarShawn Lloyd,RB,USC,College Stats,5-9,220,4.46,36.0,25,118,,,
Zion Logue,DT,Georgia,College Stats,6-6,314,5.14,29.0,,109,,4.92,
Jordan Magee,LB,Temple,College Stats,6-1,228,4.55,35.5,,124,,,
Christian Mahogany,G,Boston Col.,College Stats,6-3,314,5.13,32.5,,109,7.81,4.53,
Drake Maye,QB,North Carolina,College Stats,6-4,223,,,,,,,
Luke McCaffrey,WR,Rice,College Stats,6-2,198,4.46,36.0,,121,6.70,4.02,
J.J. McCarthy,QB,Michigan,College Stats,6-3,219,,,,,6.82,4.23,
Jase McClellan,RB,Alabama,College Stats,5-10,221,,,20,,,,
Ladd McConkey,WR,Georgia,College Stats,6-0,186,4.39,36.0,13,124,,,
Mason McCormick,G,South Dakota St.,,6-4,309,5.08,35.5,,117,7.59,4.45,
Dwight McGlothern,CB,Arkansas,College Stats,6-2,185,4.47,32.0,,115,,,
Braiden McGregor,EDGE,Michigan,College Stats,6-5,257,,,,,,,
Kool-Aid McKinstry,CB,Alabama,College Stats,6-0,199,,,,,,,
